scenario,encrypt_mean,encrypt_var,eval_mean,eval_var,setup_mean,setup_var
10,0.004463,0.000000,0.026861,0.000000,0.000012,0.000000
20,0.009342,0.000000,0.211623,0.000000,0.000012,0.000000
30,0.014415,0.000000,0.751339,0.000001,0.000012,0.000000
40,0.019351,0.000000,1.651572,0.000006,0.000012,0.000000
50,0.023705,0.000000,3.205669,0.000002,0.000012,0.000000
60,0.027306,0.000000,5.547146,0.000002,0.000011,0.000000
70,0.032219,0.000000,8.610920,0.000223,0.000014,0.000000
80,0.037356,0.000000,13.065944,0.000310,0.000012,0.000000
90,0.042516,0.000000,18.623553,0.000282,0.000012,0.000000
100,0.046722,0.000000,25.085777,0.000001,0.000012,0.000000
110,0.050643,0.000000,33.931807,0.000438,0.000012,0.000000
120,0.056658,0.000000,43.550495,0.000304,0.000012,0.000000
130,0.060499,0.000000,56.320903,0.002449,0.000012,0.000000
140,0.065917,0.000000,70.389439,0.002474,0.000012,0.000000
150,0.069100,0.000000,85.620152,0.004558,0.000012,0.000000
160,0.073173,0.000000,103.629516,0.044825,0.000012,0.000000
170,0.078003,0.000000,123.265708,0.031598,0.000012,0.000000
180,0.084644,0.000000,150.328847,0.013194,0.000012,0.000000
190,0.087791,0.000000,171.860189,0.010730,0.000012,0.000000
200,0.092391,0.000000,202.056269,0.004316,0.000012,0.000000
250,0.116044,0.000000,395.492560,0.383545,0.000012,0.000000
300,0.138576,0.000000,688.787285,1.070342,0.000012,0.000000
