scenario,encrypt_mean,encrypt_var,eval_mean,eval_var,setup_mean,setup_var
10,0.000000,0.000000,0.678491,0.000000,0.000046,0.000000
20,0.000000,0.000000,2.260569,0.000000,0.000047,0.000000
30,0.000000,0.000000,4.549127,0.000001,0.000048,0.000000
40,0.000000,0.000000,10.565765,0.000020,0.000046,0.000000
50,0.000000,0.000000,14.053676,0.000023,0.000048,0.000000
60,0.000000,0.000000,21.665694,0.000010,0.000046,0.000000
70,0.000000,0.000000,32.395139,0.000037,0.000047,0.000000
80,0.000000,0.000000,36.544375,0.000457,0.000047,0.000000
90,0.000000,0.000000,48.176860,0.000018,0.000048,0.000000
100,0.000000,0.000000,58.321166,0.001187,0.000047,0.000000
110,0.000000,0.000000,67.346494,0.002932,0.000047,0.000000
120,0.000000,0.000000,77.140739,0.000914,0.000047,0.000000
130,0.000000,0.000000,102.079518,0.006801,0.000046,0.000000
140,0.000000,0.000000,111.501090,0.026886,0.000047,0.000000
150,0.000000,0.000000,130.028933,0.001072,0.000047,0.000000
160,0.000000,0.000000,143.377958,0.000240,0.000047,0.000000
170,0.000000,0.000000,169.717029,0.001398,0.000047,0.000000
180,0.000000,0.000000,185.361026,0.001821,0.000047,0.000000
190,0.000000,0.000000,191.828621,0.000317,0.000047,0.000000
200,0.000000,0.000000,223.366167,0.000659,0.000048,0.000000
250,0.000000,0.000000,359.946288,0.011303,0.000051,0.000000
