scenario,encrypt_mean,encrypt_var,eval_mean,eval_var,setup_mean,setup_var
10,0.000569,0.000000,0.000001,0.000000,0.000001,0.000000
20,0.001119,0.000000,0.000001,0.000000,0.000001,0.000000
30,0.001655,0.000000,0.000001,0.000000,0.000001,0.000000
40,0.002171,0.000000,0.000001,0.000000,0.000001,0.000000
50,0.002691,0.000000,0.000001,0.000000,0.000001,0.000000
100,0.005382,0.000000,0.000002,0.000000,0.000001,0.000000
200,0.010652,0.000000,0.000003,0.000000,0.000001,0.000000
300,0.016094,0.000000,0.000005,0.000000,0.000001,0.000000
400,0.021481,0.000000,0.000008,0.000000,0.000001,0.000000
500,0.026881,0.000000,0.000009,0.000000,0.000001,0.000000
1000,0.053198,0.000000,0.000026,0.000000,0.000001,0.000000
2000,0.107503,0.000000,0.000065,0.000000,0.000001,0.000000
3000,0.159106,0.000000,0.000102,0.000000,0.000002,0.000000
4000,0.213242,0.000000,0.000142,0.000000,0.000001,0.000000
5000,0.266324,0.000001,0.000182,0.000000,0.000001,0.000000
10000,0.537644,0.000002,0.000389,0.000000,0.000001,0.000000
20000,1.064297,0.000002,0.000766,0.000000,0.000001,0.000000
30000,1.605074,0.000000,0.001455,0.000000,0.000001,0.000000
40000,2.129839,0.000003,0.001934,0.000000,0.000001,0.000000
50000,2.669712,0.000005,0.002361,0.000000,0.000001,0.000000
100000,5.324983,0.000027,0.005021,0.000000,0.000002,0.000000
