scenario,encrypt_mean,encrypt_var,eval_mean,eval_var,setup_mean,setup_var
10,0.005250,0.000000,0.000098,0.000000,0.000007,0.000000
20,0.010470,0.000000,0.000201,0.000000,0.000006,0.000000
30,0.015653,0.000000,0.000313,0.000000,0.000006,0.000000
40,0.020847,0.000000,0.000403,0.000000,0.000006,0.000000
50,0.025999,0.000000,0.000496,0.000000,0.000006,0.000000
100,0.051972,0.000000,0.000971,0.000000,0.000006,0.000000
150,0.078016,0.000000,0.001438,0.000000,0.000006,0.000000
200,0.103934,0.000000,0.001896,0.000000,0.000006,0.000000
250,0.130247,0.000000,0.002379,0.000000,0.000006,0.000000
500,0.259578,0.000000,0.004749,0.000000,0.000006,0.000000
1000,0.519765,0.000000,0.009500,0.000000,0.000006,0.000000
5000,2.601159,0.000000,0.047210,0.000000,0.000006,0.000000
10000,5.201212,0.000001,0.095173,0.000000,0.000006,0.000000
50000,26.021365,0.000001,0.483086,0.000000,0.000006,0.000000
100000,52.144641,0.000103,0.969356,0.000000,0.000007,0.000000
