scenario,encrypt_mean,encrypt_var,eval_mean,eval_var
10,0.000000,0.000000,0.000002,0.000000
20,0.000000,0.000000,0.000002,0.000000
30,0.000000,0.000000,0.000003,0.000000
40,0.000000,0.000000,0.000003,0.000000
50,0.000000,0.000000,0.000004,0.000000
100,0.000000,0.000000,0.000006,0.000000
150,0.000000,0.000000,0.000008,0.000000
200,0.000000,0.000000,0.000010,0.000000
250,0.000000,0.000000,0.000012,0.000000
500,0.000000,0.000000,0.000036,0.000000
1000,0.000000,0.000000,0.000087,0.000000
5000,0.000000,0.000000,0.000606,0.000000
10000,0.000000,0.000000,0.001574,0.000000
50000,0.000000,0.000000,0.011938,0.000000
100000,0.000000,0.000000,0.027579,0.000000
