scenario,encrypt_mean,encrypt_var,eval_mean,eval_var,setup_mean,setup_var
10,0.007430,0.000000,0.000160,0.000000,0.000015,0.000000
20,0.014550,0.000000,0.000293,0.000000,0.000015,0.000000
30,0.021754,0.000000,0.000432,0.000000,0.000015,0.000000
40,0.029141,0.000000,0.000569,0.000000,0.000016,0.000000
50,0.036127,0.000000,0.000697,0.000000,0.000015,0.000000
100,0.072261,0.000000,0.001353,0.000000,0.000015,0.000000
150,0.107860,0.000000,0.002001,0.000000,0.000015,0.000000
200,0.143786,0.000000,0.002659,0.000000,0.000015,0.000000
250,0.179726,0.000000,0.003325,0.000000,0.000015,0.000000
500,0.359805,0.000000,0.006605,0.000000,0.000015,0.000000
1000,0.720107,0.000000,0.013145,0.000000,0.000015,0.000000
5000,3.604993,0.000000,0.066044,0.000000,0.000015,0.000000
10000,7.222018,0.000003,0.132148,0.000000,0.000015,0.000000
50000,36.098633,0.000387,0.667085,0.000000,0.000015,0.000000
100000,72.451018,0.000191,1.343701,0.000000,0.000015,0.000000
